id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,brand,combined_features
15970,men,Apparel,Topwear,shirts,navy blue,fall,2011,casual,Turtle Check Men Navy Blue Shirt,turtle,men shirts navy blue turtle casual fall turtle check men navy blue shirt
39386,men,Apparel,Bottomwear,jeans,blue,summer,2012,casual,Peter England Men Party Blue Jeans,peter england,men jeans blue peter england casual summer peter england men party blue jeans
59263,women,Accessories,Watches,watches,silver,winter,2016,casual,Titan Women Silver Watch,titan,women watches silver titan casual winter titan women silver watch
21379,men,Apparel,Bottomwear,track pants,black,fall,2011,casual,Manchester United Men Solid Black Track Pants,manchester,men track pants black manchester casual fall manchester united men solid black track pants
53759,men,Apparel,Topwear,tshirts,grey,summer,2012,casual,Puma Men Grey T-shirt,puma,men tshirts grey puma casual summer puma men grey t-shirt
1855,men,Apparel,Topwear,tshirts,grey,summer,2011,casual,Inkfruit Mens Chain Reaction T-shirt,inkfruit,men tshirts grey inkfruit casual summer inkfruit mens chain reaction t-shirt
30805,men,Apparel,Topwear,shirts,green,summer,2012,ethnic,Fabindia Men Striped Green Shirt,fabindia,men shirts green fabindia ethnic summer fabindia men striped green shirt
26960,women,Apparel,Topwear,shirts,purple,summer,2012,casual,Jealous 21 Women Purple Shirt,jealous 21,women shirts purple jealous 21 casual summer jealous 21 women purple shirt
29114,men,Accessories,Socks,socks,navy blue,summer,2012,casual,Puma Men Pack of 3 Socks,puma,men socks navy blue puma casual summer puma men pack of 3 socks
30039,men,Accessories,Watches,watches,black,winter,2016,casual,Skagen Men Black Watch,skagen,men watches black skagen casual winter skagen men black watch
9204,men,Footwear,Shoes,casual shoes,black,summer,2011,casual,Puma Men Future Cat Remix SF Black Casual Shoes,puma,men casual shoes black puma casual summer puma men future cat remix sf black casual shoes
48123,women,Accessories,Belts,belts,black,summer,2012,casual,Fossil Women Black Huarache Weave Belt,fossil,women belts black fossil casual summer fossil women black huarache weave belt
18653,men,Footwear,Flip Flops,flip flops,black,fall,2011,casual,Fila Men Cush Flex Black Slippers,fila,men flip flops black fila casual fall fila men cush flex black slippers
47957,women,Accessories,Bags,handbags,blue,summer,2012,casual,Murcia Women Blue Handbag,murcia,women handbags blue murcia casual summer murcia women blue handbag
46885,boys,Footwear,Flip Flops,flip flops,navy blue,fall,2012,casual,Ben 10 Boys Navy Blue Slippers,ben 10,boys flip flops navy blue ben 10 casual fall ben 10 boys navy blue slippers
12369,men,Apparel,Topwear,shirts,purple,fall,2011,formal,Reid & Taylor Men Check Purple Shirts,reid & taylor,men shirts purple reid & taylor formal fall reid & taylor men check purple shirts
29928,men,Accessories,Watches,watches,black,winter,2016,casual,Police Men Black Dial Watch PL12889JVSB,police,men watches black police casual winter police men black dial watch pl12889jvsb
42419,girls,Apparel,Topwear,tops,white,summer,2012,casual,Gini and Jony Girls Knit White Top,gini & jony,girls tops white gini & jony casual summer gini and jony girls knit white top
